                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     71,                 1.6629,                 2.1104,                 2.4566,                0.86713,                  0.561,                 0.6714,                0.44608,                 3.2031,                 4.0347,                 2.5743,             2.5573e-05,             2.5573e-05,             2.5573e-05
                     72,                  1.039,                0.81431,                 2.0186,                0.87459,                0.55842,                0.67291,                 0.4446,                 3.2196,                  4.099,                  2.588,             2.5102e-05,             2.5102e-05,             2.5102e-05
                     73,                 1.1915,                 1.1787,                 1.9926,                0.87459,                0.55842,                0.67291,                 0.4446,                 3.2196,                  4.099,                  2.588,             2.4607e-05,             2.4607e-05,             2.4607e-05
                     74,                 1.3219,                0.75324,                 2.3454,                0.87459,                0.55842,                0.67291,                 0.4446,                 3.2196,                  4.099,                  2.588,             2.4089e-05,             2.4089e-05,             2.4089e-05
                     75,                 1.2747,                0.77735,                 2.2238,                0.88785,                0.55731,                0.67317,                0.41994,                 3.2428,                 4.1651,                 2.5957,             2.3547e-05,             2.3547e-05,             2.3547e-05
                     76,                 1.0737,                 1.2269,                  2.146,                0.88785,                0.55731,                0.67317,                0.41994,                 3.2428,                 4.1651,                 2.5957,             2.2982e-05,             2.2982e-05,             2.2982e-05
                     77,                 1.3683,                 1.1323,                 2.2009,                0.88785,                0.55731,                0.67317,                0.41994,                 3.2428,                 4.1651,                 2.5957,             2.2393e-05,             2.2393e-05,             2.2393e-05
                     78,                 1.4991,                 1.5393,                 2.2099,                0.89031,                0.55778,                0.67308,                0.42662,                 3.2693,                 4.1636,                 2.6584,              2.178e-05,              2.178e-05,              2.178e-05
                     79,                 1.1434,                 1.0649,                 2.1052,                0.89031,                0.55778,                0.67308,                0.42662,                 3.2693,                 4.1636,                 2.6584,             2.1144e-05,             2.1144e-05,             2.1144e-05
                     80,                 1.4372,                 1.6509,                 2.2646,                0.89031,                0.55778,                0.67308,                0.42662,                 3.2693,                 4.1636,                 2.6584,             2.0485e-05,             2.0485e-05,             2.0485e-05
                     81,                0.92296,                0.66336,                 1.9184,                0.88632,                0.55906,                0.67142,                0.42623,                 3.2724,                 4.2054,                 2.6631,             1.9802e-05,             1.9802e-05,             1.9802e-05
                     82,                 1.2166,                  1.182,                 2.1179,                0.88632,                0.55906,                0.67142,                0.42623,                 3.2724,                 4.2054,                 2.6631,             1.9095e-05,             1.9095e-05,             1.9095e-05
                     83,                 1.2274,                0.96286,                 2.1126,                0.88632,                0.55906,                0.67142,                0.42623,                 3.2724,                 4.2054,                 2.6631,             1.8365e-05,             1.8365e-05,             1.8365e-05
                     84,                 1.4636,                 1.1231,                  2.287,                0.88752,                 0.5599,                0.67169,                0.42694,                  3.228,                 4.3142,                  2.639,             1.7611e-05,             1.7611e-05,             1.7611e-05
                     85,                 1.0694,                0.99881,                 2.1454,                0.88752,                 0.5599,                0.67169,                0.42694,                  3.228,                 4.3142,                  2.639,             1.6833e-05,             1.6833e-05,             1.6833e-05
                     86,                  1.269,                 1.2132,                 2.1666,                0.88752,                 0.5599,                0.67169,                0.42694,                  3.228,                 4.3142,                  2.639,             1.6032e-05,             1.6032e-05,             1.6032e-05
                     87,                 1.1607,                 1.2348,                 1.9789,                0.88752,                 0.5599,                0.67169,                0.42694,                  3.228,                 4.3142,                  2.639,             1.5208e-05,             1.5208e-05,             1.5208e-05
                     88,                 1.2307,                 1.4414,                 2.5054,                0.88853,                0.55869,                0.67175,                0.42485,                 3.2162,                 4.3376,                 2.6369,              1.436e-05,              1.436e-05,              1.436e-05
                     89,                 1.9477,                 1.2404,                 2.8555,                0.88853,                0.55869,                0.67175,                0.42485,                 3.2162,                 4.3376,                 2.6369,             1.3488e-05,             1.3488e-05,             1.3488e-05
                     90,                 1.2099,                  1.015,                 1.9319,                0.88853,                0.55869,                0.67175,                0.42485,                 3.2162,                 4.3376,                 2.6369,             1.2593e-05,             1.2593e-05,             1.2593e-05
                     91,                0.85537,                0.59795,                  1.722,                0.88853,                0.55869,                0.67175,                0.42485,                 3.2162,                 4.3376,                 2.6369,             1.1674e-05,             1.1674e-05,             1.1674e-05
                     92,                 1.1983,                 1.0411,                 1.7975,                0.90664,                 0.5498,                0.68714,                0.45143,                 3.1685,                 4.2406,                 2.6204,             1.0732e-05,             1.0732e-05,             1.0732e-05
                     93,                0.70697,                0.62222,                 1.7481,                0.90664,                 0.5498,                0.68714,                0.45143,                 3.1685,                 4.2406,                 2.6204,             9.7656e-06,             9.7656e-06,             9.7656e-06
                     94,                0.93759,                0.74024,                 1.6976,                0.90664,                 0.5498,                0.68714,                0.45143,                 3.1685,                 4.2406,                 2.6204,             8.7761e-06,             8.7761e-06,             8.7761e-06
                     95,                0.81123,                0.57029,                 1.7343,                0.90664,                 0.5498,                0.68714,                0.45143,                 3.1685,                 4.2406,                 2.6204,             7.7631e-06,             7.7631e-06,             7.7631e-06
                     96,                0.74381,                 0.5379,                 1.8416,                  0.908,                 0.5472,                0.67346,                0.44929,                 3.1074,                 4.1753,                 2.5967,             6.7265e-06,             6.7265e-06,             6.7265e-06
                     97,                 1.0656,                 0.7429,                 1.8234,                  0.908,                 0.5472,                0.67346,                0.44929,                 3.1074,                 4.1753,                 2.5967,             5.6663e-06,             5.6663e-06,             5.6663e-06
                     98,                0.83069,                0.64096,                 1.7448,                  0.908,                 0.5472,                0.67346,                0.44929,                 3.1074,                 4.1753,                 2.5967,             4.5826e-06,             4.5826e-06,             4.5826e-06
                     99,                0.97892,                0.64282,                 1.8467,                  0.908,                 0.5472,                0.67346,                0.44929,                 3.1074,                 4.1753,                 2.5967,             3.4753e-06,             3.4753e-06,             3.4753e-06
                    100,                0.72945,                0.66708,                 1.7151,                0.89105,                0.54922,                0.67915,                0.44923,                 3.1511,                 4.0339,                 2.6266,             2.3444e-06,             2.3444e-06,             2.3444e-06
